epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.915,1.26227,1.23014,1.1663,0.57553,0.48443,0.51006,0.33119,1.28713,1.27378,1.07494,0.0500195,2.49915e-06,2.49915e-06
2,558.221,1.18286,1.09327,1.13303,0.62123,0.4863,0.52864,0.3428,1.28596,1.16697,1.06712,2.17829e-05,4.7992e-06,4.7992e-06
3,813.861,1.16604,1.05306,1.12309,0.63457,0.47876,0.52943,0.34606,1.26421,1.19436,1.06031,4.60004e-06,4.60004e-06,4.60004e-06
4,1055.52,1.16023,1.05769,1.11886,0.62186,0.48844,0.52948,0.34477,1.27468,1.17965,1.06318,4.40006e-06,4.40006e-06,4.40006e-06
5,1299.41,1.15747,1.03938,1.11538,0.60458,0.49562,0.53021,0.34552,1.28345,1.18186,1.06621,4.20008e-06,4.20008e-06,4.20008e-06
6,1540.25,1.16344,1.03836,1.11785,0.63082,0.48665,0.53067,0.34685,1.27149,1.17046,1.06225,4.0001e-06,4.0001e-06,4.0001e-06
7,1749.26,1.15792,1.03584,1.12401,0.62629,0.48694,0.53077,0.34601,1.28061,1.18132,1.06414,3.80012e-06,3.80012e-06,3.80012e-06
8,1947.41,1.15087,1.02012,1.11829,0.64623,0.47878,0.53109,0.34774,1.27,1.1612,1.06271,3.60014e-06,3.60014e-06,3.60014e-06
9,2140.21,1.14747,1.02845,1.10825,0.62677,0.49053,0.5316,0.3466,1.27707,1.1345,1.06195,3.40016e-06,3.40016e-06,3.40016e-06
10,2331.18,1.16412,1.03359,1.11493,0.62622,0.49198,0.53072,0.34644,1.26983,1.14881,1.06003,3.20018e-06,3.20018e-06,3.20018e-06
11,2523.38,1.14449,1.0167,1.1164,0.62631,0.48795,0.52914,0.3445,1.27933,1.1631,1.06421,3.0002e-06,3.0002e-06,3.0002e-06
12,2712.92,1.1528,1.01585,1.11591,0.62004,0.49158,0.53178,0.34808,1.2684,1.14412,1.06153,2.80022e-06,2.80022e-06,2.80022e-06
13,2905.27,1.14363,1.01452,1.11012,0.61648,0.49374,0.53147,0.34738,1.26672,1.14576,1.06171,2.60024e-06,2.60024e-06,2.60024e-06
14,3097.84,1.15292,1.02431,1.10886,0.61997,0.49299,0.53117,0.34722,1.26602,1.15546,1.06091,2.40026e-06,2.40026e-06,2.40026e-06
15,3287.58,1.13339,1.00742,1.10192,0.63375,0.48483,0.5299,0.34617,1.27647,1.137,1.06327,2.20028e-06,2.20028e-06,2.20028e-06
16,3492.55,1.08705,0.90321,1.06276,0.62635,0.49076,0.53101,0.34965,1.2562,1.13168,1.05843,2.0003e-06,2.0003e-06,2.0003e-06
17,3693.2,1.0918,0.90367,1.06624,0.6286,0.49181,0.53028,0.34757,1.2687,1.13934,1.06186,1.80032e-06,1.80032e-06,1.80032e-06
18,3938.16,1.0783,0.89658,1.05895,0.63383,0.48643,0.53088,0.34856,1.26544,1.13684,1.06047,1.60034e-06,1.60034e-06,1.60034e-06
19,4175.51,1.08483,0.89996,1.05763,0.63374,0.48608,0.53062,0.34739,1.26852,1.13327,1.06147,1.40036e-06,1.40036e-06,1.40036e-06
20,4408.28,1.07325,0.89589,1.05164,0.63262,0.48497,0.53039,0.34726,1.26641,1.12539,1.0608,1.20038e-06,1.20038e-06,1.20038e-06
21,4644.03,1.08396,0.89574,1.05798,0.63087,0.48571,0.53068,0.34719,1.27478,1.13491,1.06287,1.0004e-06,1.0004e-06,1.0004e-06
22,4876.38,1.07859,0.89555,1.05714,0.63322,0.4878,0.52903,0.34585,1.27597,1.13699,1.06387,8.0042e-07,8.0042e-07,8.0042e-07
23,5105.74,1.07786,0.89323,1.05304,0.63769,0.48471,0.53038,0.3475,1.2728,1.13006,1.06278,6.0044e-07,6.0044e-07,6.0044e-07
24,5296.33,1.07067,0.89416,1.05059,0.62838,0.49183,0.52986,0.34638,1.27443,1.12845,1.06249,4.0046e-07,4.0046e-07,4.0046e-07
25,5486.63,1.07725,0.89658,1.05623,0.62967,0.4888,0.53041,0.34707,1.27281,1.13047,1.06314,2.0048e-07,2.0048e-07,2.0048e-07
