epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.022,1.65473,3.18468,1.64333,0.4521,0.33049,0.32685,0.18953,1.42974,2.85902,1.26329,0.0667113,3.3322e-05,3.3322e-05
2,497.424,1.60876,2.61115,1.58578,0.54501,0.40254,0.41886,0.24877,1.34303,2.96877,1.20297,0.0334109,6.62154e-05,6.62154e-05
3,733.316,1.58739,2.43253,1.56552,0.55698,0.43639,0.45416,0.26734,1.3704,2.48367,1.20488,0.000109991,9.86688e-05,9.86688e-05
4,963.777,1.54824,2.32989,1.53671,0.55425,0.43241,0.45737,0.27023,1.31889,2.60233,1.18273,9.802e-05,9.802e-05,9.802e-05
5,1194.03,1.54596,2.27986,1.53106,0.53366,0.45082,0.46016,0.26873,1.36688,2.01582,1.20136,9.736e-05,9.736e-05,9.736e-05
6,1421.71,1.53574,2.20763,1.5225,0.55184,0.45303,0.46475,0.27382,1.34107,1.95521,1.19611,9.67e-05,9.67e-05,9.67e-05
7,1635,1.51877,2.17506,1.50909,0.52611,0.45674,0.46129,0.27503,1.36675,1.96619,1.19881,9.604e-05,9.604e-05,9.604e-05
8,1834.72,1.52562,2.15403,1.51129,0.53065,0.46147,0.45707,0.27458,1.34141,1.91712,1.17726,9.538e-05,9.538e-05,9.538e-05
9,2033.85,1.51558,2.123,1.50521,0.52846,0.48324,0.46709,0.27632,1.34842,1.91125,1.1843,9.472e-05,9.472e-05,9.472e-05
10,2236.87,1.50897,2.09908,1.4969,0.53128,0.46829,0.46459,0.27564,1.33553,1.63655,1.17491,9.406e-05,9.406e-05,9.406e-05
11,2471.8,1.49693,2.06872,1.49687,0.55621,0.46605,0.4799,0.27841,1.39296,1.70618,1.19989,9.34e-05,9.34e-05,9.34e-05
12,2701.31,1.49917,2.03826,1.48748,0.55876,0.4707,0.48591,0.29008,1.29088,1.85632,1.16122,9.274e-05,9.274e-05,9.274e-05
13,2930.62,1.48941,2.06078,1.4813,0.54762,0.48119,0.48167,0.28764,1.31353,1.67278,1.166,9.208e-05,9.208e-05,9.208e-05
14,3159.02,1.49055,2.02588,1.47645,0.53661,0.47803,0.47558,0.28465,1.3112,1.57548,1.1574,9.142e-05,9.142e-05,9.142e-05
15,3362.1,1.482,2.04253,1.47785,0.55705,0.46623,0.48455,0.29318,1.30238,1.57423,1.14905,9.076e-05,9.076e-05,9.076e-05
16,3563.43,1.46802,2.00377,1.46375,0.54489,0.48944,0.48302,0.29292,1.3011,1.73864,1.15271,9.01e-05,9.01e-05,9.01e-05
17,3765.35,1.46608,1.97697,1.4548,0.56851,0.46978,0.48699,0.29493,1.30199,1.70719,1.15054,8.944e-05,8.944e-05,8.944e-05
18,3969.99,1.46547,1.98286,1.46317,0.57628,0.46644,0.48776,0.30015,1.29069,1.6878,1.14271,8.878e-05,8.878e-05,8.878e-05
19,4173.6,1.47415,1.97102,1.46405,0.57468,0.4731,0.49118,0.29263,1.34631,1.71065,1.17173,8.812e-05,8.812e-05,8.812e-05
20,4382.49,1.46385,1.95609,1.45606,0.57397,0.4755,0.49806,0.30211,1.29149,1.68926,1.14546,8.746e-05,8.746e-05,8.746e-05
21,4588.42,1.45949,1.96188,1.45581,0.56925,0.48014,0.48623,0.28991,1.33233,1.49098,1.15804,8.68e-05,8.68e-05,8.68e-05
22,4787.16,1.4597,1.92903,1.4471,0.58388,0.46295,0.49214,0.29735,1.31035,1.56691,1.14778,8.614e-05,8.614e-05,8.614e-05
23,4977.77,1.44724,1.91536,1.44018,0.5929,0.46351,0.49603,0.30073,1.29152,1.61891,1.14285,8.548e-05,8.548e-05,8.548e-05
24,5169.18,1.45563,1.93068,1.43944,0.56039,0.49146,0.4934,0.30335,1.29046,1.43731,1.14317,8.482e-05,8.482e-05,8.482e-05
25,5361.78,1.44468,1.90377,1.43618,0.56825,0.48275,0.49163,0.29383,1.32513,1.5697,1.15686,8.416e-05,8.416e-05,8.416e-05
26,5554.72,1.43653,1.88399,1.43327,0.57843,0.47449,0.49822,0.30145,1.31357,1.49213,1.15012,8.35e-05,8.35e-05,8.35e-05
27,5747.01,1.44157,1.88955,1.43407,0.58741,0.48702,0.50285,0.30334,1.30849,1.58954,1.1572,8.284e-05,8.284e-05,8.284e-05
28,5941.85,1.44595,1.89496,1.44313,0.57052,0.48764,0.49685,0.29901,1.32139,1.57583,1.15537,8.218e-05,8.218e-05,8.218e-05
29,6131.43,1.44108,1.89255,1.43619,0.56574,0.47458,0.49004,0.29435,1.33338,1.50519,1.15396,8.152e-05,8.152e-05,8.152e-05
30,6324.32,1.43169,1.88557,1.42532,0.56506,0.48749,0.49092,0.29531,1.28585,1.51975,1.13971,8.086e-05,8.086e-05,8.086e-05
31,6518.61,1.44047,1.87282,1.43402,0.57178,0.4832,0.49287,0.30169,1.29888,1.52068,1.14065,8.02e-05,8.02e-05,8.02e-05
32,6713.46,1.43312,1.83843,1.42156,0.56767,0.48097,0.49846,0.29889,1.31656,1.47642,1.14677,7.954e-05,7.954e-05,7.954e-05
33,6906.76,1.43517,1.88782,1.42985,0.56679,0.48281,0.49398,0.30472,1.28855,1.46408,1.13188,7.888e-05,7.888e-05,7.888e-05
34,7103.5,1.44366,1.86788,1.43355,0.553,0.4902,0.49627,0.30179,1.27358,1.44815,1.13617,7.822e-05,7.822e-05,7.822e-05
35,7300.78,1.43463,1.8562,1.43247,0.58586,0.48075,0.49726,0.29983,1.30834,1.44738,1.14266,7.756e-05,7.756e-05,7.756e-05
36,7497.99,1.42421,1.85301,1.42536,0.57489,0.49231,0.50743,0.3011,1.343,1.49334,1.15733,7.69e-05,7.69e-05,7.69e-05
